"","site_number","group","country","descent_rule","average_relatedness","community_size","women_per_household","per_cent_natal_female_adults","per_cent_natal_male_adults","abbreviation","p_val","type","N_native_male","N_male","per_cent_native_male","N_native_female","N_female","per_cent_native_female"
"1",1,"Savannah Pumé","Venezuela","bilateral",0.085,76,0.9,57.89,14.29,"PU",0.0165942070366478,"MAT [*]",5,23,0.217391304347826,14,23,0.608695652173913
"2",2,"Miskito","Nicaragua","bilateral",0.1,92,1.07,53.33,21.43,"MK",0.602773312365896,"MAT",10,21,0.476190476190476,11,18,0.611111111111111
"3",3,"Mayangna","Nicaragua","bilateral",0.044,322,1.88,80.65,38.89,"NI",0.000216428975741384,"MAT [*]",44,82,0.536585365853659,59,71,0.830985915492958
"4",4,"Coastal Afro-Colombians","Colombia","",0.012,188,1.22,48.15,45.83,"CA",0.649218243963174,"MAT",27,62,0.435483870967742,31,63,0.492063492063492
"5",5,"Inland Afro-Colombians","Colombia","",0.006,306,1.11,46.59,47.54,"IA",0.393266359906627,"PAT",48,89,0.539325842696629,52,111,0.468468468468468
"6",6,"Dominica","Dominica","",0.017,422,1.33,94.63,96.6,"DM",0.695153535151092,"PAT",165,172,0.959302325581395,152,161,0.944099378881988
"7",7,"Inland Emberá","Colombia","",0.048,91,1,60,61.54,"IE",1,"PAT",11,17,0.647058823529412,10,17,0.588235294117647
"8",8,"Choyeros","Mexico","bilateral",0.054,113,1.19,73.68,81.4,"MX",0.219263778243245,"PAT",44,52,0.846153846153846,28,39,0.717948717948718
"9",9,"The Gambia, 2","The Gambia","patrilineal",0.011,573,1.56,80.5,89.39,"GB",0.051736784419799,"PAT",149,173,0.861271676300578,142,183,0.775956284153005
"10",10,"Mosuo","China","matrilineal",0.014,218,2.13,82.14,91.36,"MM",0.20664449998242,"PAT",81,90,0.9,75,91,0.824175824175824
"11",11,"Maya","Mexico","bilateral",0.035,544,1.2,84.15,94.74,"MA",0.00130168600472993,"PAT [*]",188,196,0.959183673469388,160,186,0.860215053763441
"12",12,"Lamalera","Indonesia","patrilineal",0.005,1216,1.48,83.76,95.43,"LA",4.21355902137745e-07,"PAT [*]",340,356,0.955056179775281,411,488,0.842213114754098
"13",13,"Coastal Emberá","Colombia","",0.087,86,1.13,11.76,13.33,"CE",1,"PAT",3,19,0.157894736842105,2,19,0.105263157894737
"14",14,"Maasai","Kenya","patrilineal",0.013,296,1.29,25.93,31.25,"MS",0.678771114568704,"PAT",20,60,0.333333333333333,19,67,0.283582089552239
"15",15,"The Gambia, 1","The Gambia","patrilineal",0.005,1387,5.65,70.23,86.42,"GA",6.65012283017749e-08,"PAT [*]",360,434,0.829493087557604,290,434,0.668202764976959
"16",16,"Mosuo","China","patrilineal",0.024,163,2.27,62.69,88.14,"MP",0.00199888139106179,"PAT [*]",63,73,0.863013698630137,43,69,0.623188405797101
"17",17,"Alakāpuram","India","patrilineal",0.004,613,1.33,37.05,85.33,"AZ",1.48180042996315e-22,"PAT [*]",175,205,0.853658536585366,112,275,0.407272727272727
"18",18,"Tenpaṭṭi","India","patrilineal",0.004,487,1.27,30.57,91.84,"TP",1.96832184604447e-31,"PAT [*]",167,179,0.932960893854749,72,206,0.349514563106796
"19",19,"Tanna","Vanuatu","patrilineal",0.03,183,2.31,27.03,86.67,"TA",2.77812530790764e-06,"PAT [*]",38,42,0.904761904761905,17,43,0.395348837209302
